spp	day	fung	rep	status
X	1	test	1	0
X	1	test	2	0
X	1	test	3	0
X	1	test	4	0
X	1	test	5	0
X	1	test	6	0
X	1	test	7	0
X	1	test	8	0
X	1	test	9	0
X	1	test	10	0
X	1	test	11	0
X	1	test	12	0
X	1	test	13	0
X	1	test	14	0
X	1	test	15	0
X	1	test	16	0
X	1	test	17	0
X	1	test	18	0
X	1	test	19	0
X	1	test	20	0
X	1	test	21	0
X	1	test	22	0
X	1	test	23	0
X	1	test	24	0
X	1	test	25	0
Y	1	test	1	0
Y	1	test	2	0
Y	1	test	3	0
Y	1	test	4	0
Y	1	test	5	0
Y	1	test	6	0
Y	1	test	7	0
Y	1	test	8	0
Y	1	test	9	0
Y	1	test	10	0
Y	1	test	11	0
Y	1	test	12	0
Y	1	test	13	0
Y	1	test	14	0
Y	1	test	15	0
Y	1	test	16	0
Y	1	test	17	0
Y	1	test	18	0
Y	1	test	19	0
Y	1	test	20	0
Y	1	test	21	0
Y	1	test	22	0
Y	1	test	23	0
Y	1	test	24	0
Y	1	test	25	0
X	1	A	1	0
X	1	A	2	0
X	1	A	3	0
X	1	A	4	0
X	1	A	5	0
X	1	A	6	0
X	1	A	7	0
X	1	A	8	0
X	1	A	9	0
X	1	A	10	0
X	1	A	11	0
X	1	A	12	0
X	1	A	13	0
X	1	A	14	0
X	1	A	15	0
X	1	A	16	0
X	1	A	17	0
X	1	A	18	0
X	1	A	19	0
X	1	A	20	0
X	1	A	21	0
X	1	A	22	0
X	1	A	23	0
X	1	A	24	0
X	1	A	25	0
Y	1	A	1	0
Y	1	A	2	0
Y	1	A	3	0
Y	1	A	4	0
Y	1	A	5	0
Y	1	A	6	0
Y	1	A	7	0
Y	1	A	8	0
Y	1	A	9	0
Y	1	A	10	0
Y	1	A	11	0
Y	1	A	12	0
Y	1	A	13	0
Y	1	A	14	0
Y	1	A	15	0
Y	1	A	16	0
Y	1	A	17	0
Y	1	A	18	0
Y	1	A	19	0
Y	1	A	20	0
Y	1	A	21	0
Y	1	A	22	0
Y	1	A	23	0
Y	1	A	24	0
Y	1	A	25	0
X	1	B	1	0
X	1	B	2	0
X	1	B	3	0
X	1	B	4	0
X	1	B	5	0
X	1	B	6	0
X	1	B	7	0
X	1	B	8	0
X	1	B	9	0
X	1	B	10	0
X	1	B	11	0
X	1	B	12	0
X	1	B	13	0
X	1	B	14	0
X	1	B	15	0
X	1	B	16	0
X	1	B	17	0
X	1	B	18	0
X	1	B	19	0
X	1	B	20	0
X	1	B	21	0
X	1	B	22	0
X	1	B	23	0
X	1	B	24	0
X	1	B	25	0
Y	1	B	1	0
Y	1	B	2	0
Y	1	B	3	0
Y	1	B	4	0
Y	1	B	5	0
Y	1	B	6	0
Y	1	B	7	0
Y	1	B	8	0
Y	1	B	9	0
Y	1	B	10	0
Y	1	B	11	0
Y	1	B	12	0
Y	1	B	13	0
Y	1	B	14	0
Y	1	B	15	0
Y	1	B	16	0
Y	1	B	17	0
Y	1	B	18	0
Y	1	B	19	0
Y	1	B	20	0
Y	1	B	21	0
Y	1	B	22	0
Y	1	B	23	0
Y	1	B	24	0
Y	1	B	25	0
X	1	C	1	0
X	1	C	2	0
X	1	C	3	0
X	1	C	4	0
X	1	C	5	0
X	1	C	6	0
X	1	C	7	0
X	1	C	8	0
X	1	C	9	0
X	1	C	10	0
X	1	C	11	0
X	1	C	12	0
X	1	C	13	0
X	1	C	14	0
X	1	C	15	0
X	1	C	16	0
X	1	C	17	0
X	1	C	18	0
X	1	C	19	0
X	1	C	20	0
X	1	C	21	0
X	1	C	22	0
X	1	C	23	0
X	1	C	24	0
X	1	C	25	0
Y	1	C	1	0
Y	1	C	2	0
Y	1	C	3	0
Y	1	C	4	0
Y	1	C	5	0
Y	1	C	6	0
Y	1	C	7	0
Y	1	C	8	0
Y	1	C	9	0
Y	1	C	10	0
Y	1	C	11	0
Y	1	C	12	0
Y	1	C	13	0
Y	1	C	14	0
Y	1	C	15	0
Y	1	C	16	0
Y	1	C	17	0
Y	1	C	18	0
Y	1	C	19	0
Y	1	C	20	0
Y	1	C	21	0
Y	1	C	22	0
Y	1	C	23	0
Y	1	C	24	0
Y	1	C	25	0
X	1	D	1	0
X	1	D	2	0
X	1	D	3	0
X	1	D	4	0
X	1	D	5	0
X	1	D	6	0
X	1	D	7	0
X	1	D	8	0
X	1	D	9	0
X	1	D	10	0
X	1	D	11	0
X	1	D	12	0
X	1	D	13	0
X	1	D	14	0
X	1	D	15	0
X	1	D	16	0
X	1	D	17	0
X	1	D	18	0
X	1	D	19	0
X	1	D	20	0
X	1	D	21	0
X	1	D	22	0
X	1	D	23	0
X	1	D	24	0
X	1	D	25	0
Y	1	D	1	0
Y	1	D	2	0
Y	1	D	3	0
Y	1	D	4	0
Y	1	D	5	0
Y	1	D	6	0
Y	1	D	7	0
Y	1	D	8	0
Y	1	D	9	0
Y	1	D	10	0
Y	1	D	11	0
Y	1	D	12	0
Y	1	D	13	0
Y	1	D	14	0
Y	1	D	15	0
Y	1	D	16	0
Y	1	D	17	0
Y	1	D	18	0
Y	1	D	19	0
Y	1	D	20	0
Y	1	D	21	0
Y	1	D	22	0
Y	1	D	23	0
Y	1	D	24	0
Y	1	D	25	0
X	1	E	1	0
X	1	E	2	0
X	1	E	3	0
X	1	E	4	0
X	1	E	5	0
X	1	E	6	0
X	1	E	7	0
X	1	E	8	0
X	1	E	9	0
X	1	E	10	0
X	1	E	11	0
X	1	E	12	0
X	1	E	13	0
X	1	E	14	0
X	1	E	15	0
X	1	E	16	0
X	1	E	17	0
X	1	E	18	0
X	1	E	19	0
X	1	E	20	0
X	1	E	21	0
X	1	E	22	0
X	1	E	23	0
X	1	E	24	0
X	1	E	25	0
Y	1	E	1	0
Y	1	E	2	0
Y	1	E	3	0
Y	1	E	4	0
Y	1	E	5	0
Y	1	E	6	0
Y	1	E	7	0
Y	1	E	8	0
Y	1	E	9	0
Y	1	E	10	0
Y	1	E	11	0
Y	1	E	12	0
Y	1	E	13	0
Y	1	E	14	0
Y	1	E	15	0
Y	1	E	16	0
Y	1	E	17	0
Y	1	E	18	0
Y	1	E	19	0
Y	1	E	20	0
Y	1	E	21	0
Y	1	E	22	0
Y	1	E	23	0
Y	1	E	24	0
Y	1	E	25	0
X	2	test	1	1
X	2	test	2	1
X	2	test	3	1
X	2	test	4	1
X	2	test	5	1
X	2	test	6	1
X	2	test	7	1
X	2	test	8	1
X	2	test	9	0
X	2	test	10	1
X	2	test	11	1
X	2	test	12	0
X	2	test	13	1
X	2	test	14	0
X	2	test	15	0
X	2	test	16	1
X	2	test	17	1
X	2	test	18	1
X	2	test	19	0
X	2	test	20	1
X	2	test	21	0
X	2	test	22	1
X	2	test	23	1
X	2	test	24	1
X	2	test	25	1
Y	2	test	1	1
Y	2	test	2	0
Y	2	test	3	0
Y	2	test	4	1
Y	2	test	5	1
Y	2	test	6	1
Y	2	test	7	1
Y	2	test	8	0
Y	2	test	9	1
Y	2	test	10	0
Y	2	test	11	0
Y	2	test	12	0
Y	2	test	13	1
Y	2	test	14	1
Y	2	test	15	0
Y	2	test	16	1
Y	2	test	17	1
Y	2	test	18	1
Y	2	test	19	1
Y	2	test	20	1
Y	2	test	21	0
Y	2	test	22	1
Y	2	test	23	1
Y	2	test	24	1
Y	2	test	25	1
X	2	A	1	1
X	2	A	2	1
X	2	A	3	1
X	2	A	4	1
X	2	A	5	0
X	2	A	6	0
X	2	A	7	1
X	2	A	8	1
X	2	A	9	1
X	2	A	10	1
X	2	A	11	0
X	2	A	12	0
X	2	A	13	0
X	2	A	14	1
X	2	A	15	0
X	2	A	16	0
X	2	A	17	0
X	2	A	18	0
X	2	A	19	0
X	2	A	20	1
X	2	A	21	0
X	2	A	22	0
X	2	A	23	0
X	2	A	24	0
X	2	A	25	0
Y	2	A	1	1
Y	2	A	2	1
Y	2	A	3	1
Y	2	A	4	1
Y	2	A	5	0
Y	2	A	6	1
Y	2	A	7	1
Y	2	A	8	0
Y	2	A	9	1
Y	2	A	10	1
Y	2	A	11	0
Y	2	A	12	0
Y	2	A	13	1
Y	2	A	14	1
Y	2	A	15	1
Y	2	A	16	1
Y	2	A	17	1
Y	2	A	18	1
Y	2	A	19	1
Y	2	A	20	1
Y	2	A	21	1
Y	2	A	22	1
Y	2	A	23	1
Y	2	A	24	1
Y	2	A	25	0
X	2	B	1	1
X	2	B	2	0
X	2	B	3	0
X	2	B	4	0
X	2	B	5	0
X	2	B	6	0
X	2	B	7	0
X	2	B	8	0
X	2	B	9	0
X	2	B	10	1
X	2	B	11	0
X	2	B	12	0
X	2	B	13	0
X	2	B	14	0
X	2	B	15	0
X	2	B	16	0
X	2	B	17	0
X	2	B	18	0
X	2	B	19	0
X	2	B	20	0
X	2	B	21	0
X	2	B	22	0
X	2	B	23	0
X	2	B	24	1
X	2	B	25	0
Y	2	B	1	1
Y	2	B	2	0
Y	2	B	3	1
Y	2	B	4	0
Y	2	B	5	0
Y	2	B	6	0
Y	2	B	7	0
Y	2	B	8	1
Y	2	B	9	1
Y	2	B	10	0
Y	2	B	11	0
Y	2	B	12	1
Y	2	B	13	1
Y	2	B	14	1
Y	2	B	15	0
Y	2	B	16	0
Y	2	B	17	1
Y	2	B	18	0
Y	2	B	19	1
Y	2	B	20	0
Y	2	B	21	1
Y	2	B	22	1
Y	2	B	23	0
Y	2	B	24	0
Y	2	B	25	0
X	2	C	1	0
X	2	C	2	0
X	2	C	3	0
X	2	C	4	0
X	2	C	5	0
X	2	C	6	1
X	2	C	7	0
X	2	C	8	0
X	2	C	9	0
X	2	C	10	0
X	2	C	11	0
X	2	C	12	0
X	2	C	13	1
X	2	C	14	0
X	2	C	15	0
X	2	C	16	1
X	2	C	17	0
X	2	C	18	0
X	2	C	19	0
X	2	C	20	0
X	2	C	21	0
X	2	C	22	0
X	2	C	23	0
X	2	C	24	0
X	2	C	25	0
Y	2	C	1	1
Y	2	C	2	0
Y	2	C	3	0
Y	2	C	4	0
Y	2	C	5	0
Y	2	C	6	1
Y	2	C	7	0
Y	2	C	8	0
Y	2	C	9	1
Y	2	C	10	1
Y	2	C	11	0
Y	2	C	12	1
Y	2	C	13	0
Y	2	C	14	1
Y	2	C	15	0
Y	2	C	16	0
Y	2	C	17	0
Y	2	C	18	0
Y	2	C	19	0
Y	2	C	20	0
Y	2	C	21	0
Y	2	C	22	0
Y	2	C	23	1
Y	2	C	24	1
Y	2	C	25	0
X	2	D	1	1
X	2	D	2	1
X	2	D	3	1
X	2	D	4	0
X	2	D	5	0
X	2	D	6	0
X	2	D	7	0
X	2	D	8	0
X	2	D	9	1
X	2	D	10	1
