trat;conc;inib;
A;0,05;-2,654867257;-1,301029996
A;0,05;-6,194690265;-1,301029996
A;0,05;11,50442478;-1,301029996
A;0,05;-6,194690265;-1,301029996
A;0,5;2,654867257;-0,301029996
A;0,5;-2,654867257;-0,301029996
A;0,5;20,3539823;-0,301029996
A;0,5;-15,04424779;-0,301029996
A;1;2,654867257;0
A;1;20,3539823;0
A;1;2,654867257;0
A;1;-6,194690265;0
A;5;55,75221239;0,698970004
A;5;38,05309735;0,698970004
A;5;46,90265487;0,698970004
A;5;50,44247788;0,698970004
A;15;82,30088496;1,176091259
A;15;73,45132743;1,176091259
A;15;61,0619469;1,176091259
A;15;55,75221239;1,176091259
A;50;96,46017699;1,698970004
A;50;98,2300885;1,698970004
A;50;91,15044248;1,698970004
A;50;99,2920354;1,698970004
A;100;99,82300885;2
A;100;100;2
A;100;100;2
A;100;99,46902655;2
B;0,05;23,63636364;-1,301029996
B;0,05;-18,18181818;-1,301029996
B;0,05;0;-1,301029996
B;0,05;-5,454545455;-1,301029996
B;0,5;-18,18181818;-0,301029996
B;0,5;-9,090909091;-0,301029996
B;0,5;23,63636364;-0,301029996
B;0,5;3,636363636;-0,301029996
B;1;20;0
B;1;-5,454545455;0
B;1;5,454545455;0
B;1;-9,090909091;0
B;5;0;0,698970004
B;5;12,72727273;0,698970004
B;5;9,090909091;0,698970004
B;5;-5,454545455;0,698970004
B;15;40;1,176091259
B;15;54,54545455;1,176091259
B;15;36,36363636;1,176091259
B;15;63,63636364;1,176091259
B;50;90,90909091;1,698970004
B;50;72,72727273;1,698970004
B;50;81,81818182;1,698970004
B;50;90,90909091;1,698970004
B;100;98,18181818;2
B;100;99,09090909;2
B;100;99,63636364;2
B;100;100;2
C;0,05;-6,382978723;-1,301029996
C;0,05;-17,0212766;-1,301029996
C;0,05;6,382978723;-1,301029996
C;0,05;19,14893617;-1,301029996
C;0,5;25,53191489;-0,301029996
C;0,5;-2,127659574;-0,301029996
C;0,5;-10,63829787;-0,301029996
C;0,5;-10,63829787;-0,301029996
C;1;29,78723404;0
C;1;4,255319149;0
C;1;-17,0212766;0
C;1;-2,127659574;0
C;5;31,91489362;0,698970004
C;5;46,80851064;0,698970004
C;5;19,14893617;0,698970004
C;5;36,17021277;0,698970004
C;15;46,80851064;1,176091259
C;15;53,19148936;1,176091259
C;15;63,82978723;1,176091259
C;15;21,27659574;1,176091259
C;50;99,57446809;1,698970004
C;50;97,87234043;1,698970004
C;50;98,93617021;1,698970004
C;50;100;1,698970004
C;100;100;2
C;100;100;2
C;100;99,36170213;2
C;100;99,78723404;2
D;0,05;5,511811024;-1,301029996
D;0,05;-10,23622047;-1,301029996
D;0,05;5,511811024;-1,301029996
D;0,05;-7,086614173;-1,301029996
D;0,5;0,787401575;-0,301029996
D;0,5;-7,086614173;-0,301029996
D;0,5;5,511811024;-0,301029996
D;0,5;2,362204724;-0,301029996
D;1;8,661417323;0
D;1;-2,362204724;0
D;1;13,38582677;0
D;1;-2,362204724;0
D;5;29,13385827;0,698970004
D;5;13,38582677;0,698970004
D;5;5,511811024;0,698970004
D;5;21,25984252;0,698970004
D;15;44,88188976;1,176091259
D;15;29,13385827;1,176091259
D;15;33,85826772;1,176091259
D;15;29,13385827;1,176091259
D;50;65,35433071;1,698970004
D;50;92,12598425;1,698970004
D;50;76,37795276;1,698970004
D;50;84,2519685;1,698970004
D;100;99,52755906;2
D;100;100;2
D;100;99,84251969;2
D;100;99,68503937;2
E;0,05;-4,347826087;-1,301029996
E;0,05;-9,565217391;-1,301029996
E;0,05;16,52173913;-1,301029996
E;0,05;13,04347826;-1,301029996
E;0,5;6,086956522;-0,301029996
E;0,5;25,2173913;-0,301029996
E;0,5;-0,869565217;-0,301029996
E;0,5;-9,565217391;-0,301029996
E;1;13,04347826;0
E;1;-11,30434783;0
E;1;25,2173913;0
E;1;-4,347826087;0
E;5;9,565217391;0,698970004
E;5;4,347826087;0,698970004
E;5;-4,347826087;0,698970004
E;5;25,2173913;0,698970004
E;15;44,34782609;1,176091259
E;15;23,47826087;1,176091259
E;15;13,04347826;1,176091259
E;15;61,73913043;1,176091259
E;50;56,52173913;1,698970004
E;50;89,56521739;1,698970004
E;50;68,69565217;1,698970004
E;50;82,60869565;1,698970004
E;100;96,52173913;2
E;100;98,26086957;2
E;100;99,13043478;2
E;100;100;2
F;0,05;-5,882352941;-1,301029996
F;0,05;5,882352941;-1,301029996
F;0,05;5,882352941;-1,301029996
F;0,05;1,176470588;-1,301029996
F;0,5;-3,529411765;-0,301029996
F;0,5;1,176470588;-0,301029996
F;0,5;10,58823529;-0,301029996
F;0,5;5,882352941;-0,301029996
F;1;-5,882352941;0
F;1;17,64705882;0
F;1;1,176470588;0
F;1;5,882352941;0
F;5;52,94117647;0,698970004
F;5;17,64705882;0,698970004
F;5;64,70588235;0,698970004
F;5;57,64705882;0,698970004
F;15;76,47058824;1,176091259
F;15;88,23529412;1,176091259
F;15;81,17647059;1,176091259
F;15;95,29411765;1,176091259
F;50;97,64705882;1,698970004
F;50;92,94117647;1,698970004
F;50;98,82352941;1,698970004
F;50;98,11764706;1,698970004
F;100;97,64705882;2
F;100;99,29411765;2
F;100;100;2
F;100;100;2
