trat;conc;sev
A;0;100
A;0;100
A;0;100
A;0;100
A;0,05;99,46017699
A;0,05;98,2300885
A;0,05;99,15044248
A;0,05;100
A;0,5;82,30088496
A;0,5;73,45132743
A;0,5;81,0619469
A;0,5;95,75221239
A;1;55,75221239
A;1;68,05309735
A;1;56,90265487
A;1;50,44247788
A;5;26,54867257
A;5;20,3539823
A;5;26,54867257
A;5;26,19469027
A;15;12,65486726
A;15;12,65486726
A;15;20,3539823
A;15;15,04424779
A;50;12,65486726
A;50;6,194690265
A;50;11,50442478
A;50;6,194690265
A;100;5,04424779
A;100;2,654867257
A;100;7,96460177
A;100;2,654867257
B;0;70,90909091
B;0;72,72727273
B;0;81,81818182
B;0;70,90909091
B;0,05;54
B;0,05;45
B;0,05;51
B;0,05;47
B;0,5;30
B;0,5;34,54545455
B;0,5;36,36363636
B;0,5;43,63636364
B;1;25
B;1;22,72727273
B;1;29,09090909
B;1;25,45454546
B;5;20
B;5;15,45454546
B;5;15,45454546
B;5;19,09090909
B;15;8,18181818
B;15;9,090909091
B;15;3,63636364
B;15;6,36363636
B;50;2,363636364
B;50;1,818181818
B;50;0
B;50;5,454545455
B;100;5,454545455
B;100;1,818181818
B;100;5,454545455
B;100;1,454545455
C;0;100
C;0;100
C;0;99,36170213
C;0;99,78723404
C;0,05;79,57446809
C;0,05;67,87234043
C;0,05;78,93617021
C;0,05;81
C;0,5;46,80851064
C;0,5;53,19148936
C;0,5;43,82978723
C;0,5;51,27659574
C;1;31,91489362
C;1;36,80851064
C;1;29,14893617
C;1;26,17021277
C;5;19,78723404
C;5;14,25531915
C;5;17,0212766
C;5;22,12765957
C;15;5,53191489
C;15;7,127659574
C;15;10,63829787
C;15;10,63829787
C;50;6,382978723
C;50;7,0212766
C;50;6,382978723
C;50;9,14893617
C;100;6,382978723
C;100;4,8961702
C;100;1,0212766
C;100;6,382978723
D;0;99,52755906
D;0;100
D;0;99,84251969
D;0;99,68503937
D;0,05;65,35433071
D;0,05;72,12598425
D;0,05;76,37795276
D;0,05;64,2519685
D;0,5;44,88188976
D;0,5;39,13385827
D;0,5;33,85826772
D;0,5;49,13385827
D;1;19,13385827
D;1;13,38582677
D;1;15,51181102
D;1;21,25984252
D;5;8,661417323
D;5;12,36220472
D;5;13,38582677
D;5;12,36220472
D;15;7,87401575
D;15;7,086614173
D;15;5,511811024
D;15;6,362204724
D;50;5,511811024
D;50;10,23622047
D;50;5,511811024
D;50;7,086614173
D;100;2,362204724
D;100;3,38582677
D;100;2,362204724
D;100;5,511811024
E;0;76,52173913
E;0;68,26086957
E;0;79,13043478
E;0;81
E;0,05;56,52173913
E;0,05;69,56521739
E;0,05;68,69565217
E;0,05;52,60869565
E;0,5;44,34782609
E;0,5;33,47826087
E;0,5;43,04347826
E;0,5;51,73913043
E;1;29,56521739
E;1;24,34782609
E;1;24,34782609
E;1;25,2173913
E;5;13,04347826
E;5;11,30434783
E;5;15,2173913
E;5;14,34782609
E;15;6,086956522
E;15;5,2173913
E;15;8,69565217
E;15;9,565217391
E;50;4,347826087
E;50;9,565217391
E;50;6,52173913
E;50;3,04347826
E;100;2,73913043
E;100;4,347826087
E;100;4,347826087
E;100;1,30434783
F;0;77,64705882
F;0;89,29411765
F;0;81
F;0;71
F;0,05;57,64705882
F;0,05;62,94117647
F;0,05;58,82352941
F;0,05;48,11764706
F;0,5;26,47058824
F;0,5;28,23529412
F;0,5;21,17647059
F;0,5;15,29411765
F;1;12,94117647
F;1;17,64705882
F;1;14,70588235
F;1;17,64705882
F;5;5,882352941
F;5;7,64705882
F;5;1,176470588
F;5;5,882352941
F;15;3,529411765
F;15;1,176470588
F;15;1,58823529
F;15;5,882352941
F;50;3,882352941
F;50;5,882352941
F;50;2,882352941
F;50;1,176470588
F;100;5,882352941
F;100;5,882352941
F;100;0,58823529
F;100;5,882352941
