esp;temp;pm;ger
asc;12;3;9
asc;12;3;12
asc;12;3;8
asc;12;3;7
asc;12;6;10
asc;12;6;10
asc;12;6;11
asc;12;6;12
asc;12;12;18
asc;12;12;19
asc;12;12;22
asc;12;12;21
asc;12;24;28
asc;12;24;32
asc;12;24;35
asc;12;24;34
asc;12;36;48
asc;12;36;51
asc;12;36;51
asc;12;36;39
asc;12;48;59
asc;12;48;60
asc;12;48;62
asc;12;48;57
asc;12;60;57
asc;12;60;56
asc;12;60;63
asc;12;60;65
asc;14;3;12
asc;14;3;14
asc;14;3;7
asc;14;3;5
asc;14;6;22
asc;14;6;28
asc;14;6;14
asc;14;6;26
asc;14;12;22
asc;14;12;25
asc;14;12;29
asc;14;12;31
asc;14;24;47
asc;14;24;57
asc;14;24;49
asc;14;24;53
asc;14;36;48
asc;14;36;49
asc;14;36;55
asc;14;36;56
asc;14;48;58
asc;14;48;62
asc;14;48;61
asc;14;48;61
asc;14;60;62
asc;14;60;61
asc;14;60;60
asc;14;60;62
asc;16;3;19
asc;16;3;19
asc;16;3;18
asc;16;3;19
asc;16;6;28
asc;16;6;26
asc;16;6;25
asc;16;6;29
asc;16;12;34
asc;16;12;30
asc;16;12;39
asc;16;12;33
asc;16;24;46
asc;16;24;43
asc;16;24;45
asc;16;24;50
asc;16;36;69
asc;16;36;68
asc;16;36;65
asc;16;36;62
asc;16;48;72
asc;16;48;68
asc;16;48;63
asc;16;48;70
asc;16;60;80
asc;16;60;81
asc;16;60;78
asc;16;60;73
asc;18;3;17
asc;18;3;19
asc;18;3;15
asc;18;3;16
asc;18;6;40
asc;18;6;27
asc;18;6;27
asc;18;6;39
asc;18;12;35
asc;18;12;38
asc;18;12;37
asc;18;12;36
asc;18;24;59
asc;18;24;68
asc;18;24;65
asc;18;24;62
asc;18;36;70
asc;18;36;70
asc;18;36;69
asc;18;36;65
asc;18;48;69
asc;18;48;71
asc;18;48;73
asc;18;48;71
asc;18;60;80
asc;18;60;72
asc;18;60;68
asc;18;60;83
asc;20;3;22
asc;20;3;18
asc;20;3;16
asc;20;3;15
asc;20;6;35
asc;20;6;33
asc;20;6;36
asc;20;6;37
asc;20;12;38
asc;20;12;40
asc;20;12;42
asc;20;12;37
asc;20;24;61
asc;20;24;65
asc;20;24;59
asc;20;24;58
asc;20;36;61
asc;20;36;63
asc;20;36;66
asc;20;36;66
asc;20;48;75
asc;20;48;68
asc;20;48;69
asc;20;48;70
asc;20;60;82
asc;20;60;81
asc;20;60;81
asc;20;60;75
asc;22;3;21
asc;22;3;20
asc;22;3;23
asc;22;3;19
asc;22;6;34
asc;22;6;30
asc;22;6;38
asc;22;6;32
asc;22;12;33
asc;22;12;42
asc;22;12;41
asc;22;12;38
asc;22;24;65
asc;22;24;63
asc;22;24;65
asc;22;24;65
asc;22;36;70
asc;22;36;71
asc;22;36;66
asc;22;36;68
asc;22;48;83
asc;22;48;69
asc;22;48;74
asc;22;48;71
asc;22;60;80
asc;22;60;81
asc;22;60;75
asc;22;60;74
asc;26;3;13
asc;26;3;10
asc;26;3;7
asc;26;3;10
asc;26;6;44
asc;26;6;30
asc;26;6;34
asc;26;6;31
asc;26;12;41
asc;26;12;40
asc;26;12;42
asc;26;12;41
asc;26;24;58
asc;26;24;53
asc;26;24;59
asc;26;24;51
asc;26;36;53
asc;26;36;50
asc;26;36;52
asc;26;36;55
asc;26;48;56
asc;26;48;56
asc;26;48;57
asc;26;48;56
asc;26;60;57
asc;26;60;53
asc;26;60;59
asc;26;60;60
asc;28;3;8
asc;28;3;6
asc;28;3;7
asc;28;3;8
asc;28;6;8
asc;28;6;9
asc;28;6;11
asc;28;6;13
asc;28;12;21
asc;28;12;18
asc;28;12;14
asc;28;12;16
asc;28;24;26
asc;28;24;29
asc;28;24;35
asc;28;24;27
asc;28;36;48
asc;28;36;45
asc;28;36;43
asc;28;36;42
asc;28;48;49
asc;28;48;48
asc;28;48;46
asc;28;48;48
asc;28;60;51
asc;28;60;52
asc;28;60;55
asc;28;60;53
asc;35;3;0
asc;35;3;0
asc;35;3;0
asc;35;3;0
asc;35;6;0
asc;35;6;0
asc;35;6;0
