
iso	pop	rep	ss	fun	mw	dis
2F33	BL	1	1000	Bz	398.24	65.00
2F33	BL	1	100	Bz	398.24	17.00
2F33	BL	2	1000	Bz	398.24	65.00
2F33	BL	2	100	Bz	398.24	33.50
2F35	BL	1	1000	Bz	398.24	65.00
2F35	BL	1	100	Bz	398.24	20.40
2F35	BL	2	1000	Bz	398.24	65.00
2F35	BL	2	100	Bz	398.24	na
2F36	BL	1	1000	Bz	398.24	65.00
2F36	BL	1	100	Bz	398.24	21.40
2F36	BL	2	1000	Bz	398.24	49.66
2F36	BL	2	100	Bz	398.24	30.80
2F47	BL	1	1000	Bz	398.24	65.00
2F47	BL	1	100	Bz	398.24	15.00
2F47	BL	2	1000	Bz	398.24	45.92
2F47	BL	2	100	Bz	398.24	22.40
2F51	BL	1	1000	Bz	398.24	65.00
2F51	BL	1	100	Bz	398.24	22.10
2F51	BL	2	1000	Bz	398.24	65.00
2F51	BL	2	100	Bz	398.24	29.90
2F52	BL	1	1000	Bz	398.24	29.85
2F52	BL	2	1000	Bz	398.24	23.09
2F59	BL	1	1000	Bz	398.24	33.91
2F59	BL	2	1000	Bz	398.24	32.87
2F63	BL	1	1000	Bz	398.24	26.54
2F63	BL	2	1000	Bz	398.24	65.00
2F66	BL	1	1000	Bz	398.24	46.45
2F66	BL	2	1000	Bz	398.24	46.45
2F67	BL	1	1000	Bz	398.24	34.04
2F67	BL	2	1000	Bz	398.24	34.04
2F70	BL	1	1000	Bz	398.24	39.54
2F70	BL	2	1000	Bz	398.24	39.54
2F72	BL	1	1000	Bz	398.24	65.00
2F72	BL	1	100	Bz	398.24	21.50
2F72	BL	2	1000	Bz	398.24	65.00
2F72	BL	2	100	Bz	398.24	31.20
2F76	BL	1	1000	Bz	398.24	65.00
2F76	BL	1	100	Bz	398.24	24.10
2F76	BL	2	1000	Bz	398.24	65.00
2F76	BL	2	100	Bz	398.24	45.70
2F77	BL	1	1000	Bz	398.24	65.00
2F77	BL	1	100	Bz	398.24	18.00
2F77	BL	2	1000	Bz	398.24	65.00
2F77	BL	2	100	Bz	398.24	18.00
2F78	BL	1	1000	Bz	398.24	65.00
2F78	BL	1	100	Bz	398.24	15.00
2F78	BL	2	1000	Bz	398.24	65.00
2F78	BL	2	100	Bz	398.24	18.00
2F79	BL	1	1000	Bz	398.24	65.00
2F79	BL	1	100	Bz	398.24	15.00
2F79	BL	2	1000	Bz	398.24	65.00
2F79	BL	2	100	Bz	398.24	24.40
2F95	BL	1	1000	Bz	398.24	65.00
2F95	BL	1	100	Bz	398.24	24.40
2F95	BL	2	1000	Bz	398.24	22.50
2F95	BL	2	100	Bz	398.24	21.10
2F97	BL	1	1000	Bz	398.24	65.00
2F97	BL	1	100	Bz	398.24	21.90
2F97	BL	2	1000	Bz	398.24	46.80
2F97	BL	2	100	Bz	398.24	18.00
