yr	pop	hed	tra	plot	iso	fun	dos	rep	d1	d2
2015	a	heavy	fon2	2B	1	fd	0	1	1855	1871
2015	a	heavy	fon2	2B	1	fd	0	2	2263	2205
2015	a	heavy	fon2	2B	1	fd	0.01	1	2304	2317
2015	a	heavy	fon2	2B	1	fd	0.01	2	2317	2336
2015	a	heavy	fon2	2B	1	fd	0.05	1	2248	2193
2015	a	heavy	fon2	2B	1	fd	0.1	1	1854	1854
2015	a	heavy	fon2	2B	1	fd	0.1	2	2339	2436
2015	a	heavy	fon2	2B	1	fd	0.5	1	1791	1786
2015	a	heavy	fon2	2B	1	fd	1	1	1655	1686
2015	a	heavy	fon2	2B	1	fd	1	2	1521	1450
2015	a	heavy	fon2	2B	1	fd	10	1	1018	1017
2015	a	heavy	fon2	2B	1	fd	50	1	860	877
2015	a	heavy	fon2	2B	1	fd	50	2	786	786
2015	a	heavy	fon2	2B	1	fd	100	1	500	500
2015	a	heavy	fon2	2B	1	fp	0	1	2084	1933
2015	a	heavy	fon2	2B	1	fp	0	2	1826	1796
2015	a	heavy	fon2	2B	1	fp	0.01	1	2095	2031
2015	a	heavy	fon2	2B	1	fp	0.01	2	2309	2260
2015	a	heavy	fon2	2B	1	fp	0.05	1	1467	1303
2015	a	heavy	fon2	2B	1	fp	0.1	1	1303	1387
2015	a	heavy	fon2	2B	1	fp	0.1	2	1237	1296
2015	a	heavy	fon2	2B	1	fp	0.5	1	1146	1117
2015	a	heavy	fon2	2B	1	fp	1	1	500	500
2015	a	heavy	fon2	2B	1	fp	1	2	500	500
2015	a	heavy	fon2	2B	1	fp	10	1	500	500
2015	a	heavy	fon2	2B	1	fp	50	1	500	500
2015	a	heavy	fon2	2B	1	fp	50	2	500	500
2015	a	heavy	fon2	2B	1	fp	100	1	500	500
2015	a	heavy	fon2	2B	1	pe	0	1	1801	1670
2015	a	heavy	fon2	2B	1	pe	0	2	1844	1830
2015	a	heavy	fon2	2B	1	pe	0.01	1	1909	1988
2015	a	heavy	fon2	2B	1	pe	0.01	2	1859	1861
2015	a	heavy	fon2	2B	1	pe	0.05	1	1961	1953
2015	a	heavy	fon2	2B	1	pe	0.1	1	1907	1810
2015	a	heavy	fon2	2B	1	pe	0.1	2	1549	1549
2015	a	heavy	fon2	2B	1	pe	0.5	1	1716	1519
2015	a	heavy	fon2	2B	1	pe	1	1	1468	1381
2015	a	heavy	fon2	2B	1	pe	1	2	1382	1529
2015	a	heavy	fon2	2B	1	pe	10	1	790	773
2015	a	heavy	fon2	2B	1	pe	50	1	824	825
2015	a	heavy	fon2	2B	1	pe	50	2	882	802
2015	a	heavy	fon2	2B	1	pe	100	1	881	880
2015	a	heavy	fon2	2B	2	fd	0	1	2028	1852
2015	a	heavy	fon2	2B	2	fd	0	2	1953	1897
2015	a	heavy	fon2	2B	2	fd	0.01	1	1795	1823
2015	a	heavy	fon2	2B	2	fd	0.01	2	2226	2244
2015	a	heavy	fon2	2B	2	fd	0.05	1	1245	1190
2015	a	heavy	fon2	2B	2	fd	0.1	1	846	920
2015	a	heavy	fon2	2B	2	fd	0.1	2	920	1034
2015	a	heavy	fon2	2B	2	fd	0.5	1	500	500
2015	a	heavy	fon2	2B	2	fd	1	1	500	500
2015	a	heavy	fon2	2B	2	fd	1	2	500	500
2015	a	heavy	fon2	2B	2	fd	10	1	500	500
2015	a	heavy	fon2	2B	2	fd	50	1	500	500
2015	a	heavy	fon2	2B	2	fd	50	2	500	500
